ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T
35317;1;2015;1;1;66.8;73.5;70.9;61.8;55.4;52.9;1.0;0.0;0.0;0.0
35318;1;2015;1;1;67.9;73.8;71.4;65.3;58.3;54.4;0.0;1.0;0.0;0.0
35319;1;2015;1;1;67.9;74.5;71.7;63.6;56.5;53.3;0.0;0.0;0.0;1.0
35429;1;2015;1;2;69.6;77.0;72.3;67.6;61.6;58.7;1.0;0.0;0.0;0.0
35430;1;2015;1;2;68.9;74.2;71.8;67.3;61.6;58.6;0.0;1.0;0.0;0.0
35431;1;2015;1;2;64.3;72.8;69.0;59.1;51.2;47.3;0.0;0.0;1.0;0.0
35432;1;2015;1;2;68.4;75.0;71.7;65.3;55.8;48.6;0.0;0.0;0.0;1.0
35553;1;2015;1;3;68.4;74.3;72.0;65.7;59.0;54.8;1.0;0.0;0.0;0.0
35554;1;2015;1;3;68.7;73.8;71.8;67.7;61.0;58.2;0.0;1.0;0.0;0.0
35555;1;2015;1;3;67.2;73.8;71.4;62.9;56.4;52.2;0.0;0.0;1.0;0.0
35556;1;2015;1;3;68.1;74.0;71.8;65.0;58.2;53.4;0.0;0.0;0.0;1.0
35677;1;2015;1;4;67.9;74.0;71.6;64.2;57.9;54.0;1.0;0.0;0.0;0.0
35678;1;2015;1;4;68.4;74.0;71.2;66.6;60.3;57.2;0.0;1.0;0.0;0.0
35679;1;2015;1;4;67.5;74.0;71.7;63.0;56.4;52.8;0.0;0.0;1.0;0.0
35680;1;2015;1;4;67.8;74.0;71.5;64.3;57.6;53.5;0.0;0.0;0.0;1.0
35801;1;2015;1;5;69.5;78.6;72.1;65.9;57.4;52.1;0.0;0.0;0.0;1.0
35907;1;2015;1;6;67.5;74.0;71.7;63.1;56.5;52.4;1.0;0.0;0.0;0.0
35908;1;2015;1;6;68.6;74.6;72.5;66.5;59.1;55.6;0.0;1.0;0.0;0.0
35909;1;2015;1;6;66.9;73.9;71.2;62.2;55.3;50.3;0.0;0.0;1.0;0.0
35910;1;2015;1;6;67.5;74.3;71.8;63.3;56.3;51.7;0.0;0.0;0.0;1.0
36031;1;2015;1;7;69.6;74.9;72.6;68.3;62.4;59.8;1.0;0.0;0.0;0.0
36032;1;2015;1;7;69.1;74.9;72.7;67.0;60.1;56.6;0.0;1.0;0.0;0.0
36033;1;2015;1;7;64.7;73.5;69.6;58.8;50.1;46.2;0.0;0.0;1.0;0.0
36034;1;2015;1;7;68.4;74.6;72.2;65.7;55.1;47.4;0.0;0.0;0.0;1.0
36155;1;2015;1;8;69.9;75.8;72.8;68.6;62.7;60.0;1.0;0.0;0.0;0.0
36156;1;2015;1;8;68.8;74.3;72.1;67.2;60.3;57.1;0.0;1.0;0.0;0.0
36157;1;2015;1;8;65.1;73.7;69.8;60.1;51.9;48.0;0.0;0.0;1.0;0.0
36158;1;2015;1;8;68.6;74.7;72.3;66.3;56.4;49.2;0.0;0.0;0.0;1.0
36279;1;2015;1;9;69.6;75.2;72.7;68.2;62.4;59.9;1.0;0.0;0.0;0.0
36280;1;2015;1;9;69.2;74.3;72.5;67.9;61.7;59.1;0.0;1.0;0.0;0.0
36281;1;2015;1;9;66.1;73.7;70.5;61.1;53.9;49.9;0.0;0.0;1.0;0.0
36282;1;2015;1;9;68.7;74.7;72.3;66.4;57.8;51.2;0.0;0.0;0.0;1.0
36403;1;2015;1;10;68.4;74.7;72.2;65.5;58.9;54.8;1.0;0.0;0.0;0.0
36404;1;2015;1;10;69.2;74.7;72.6;67.4;60.9;58.2;0.0;1.0;0.0;0.0
36405;1;2015;1;10;67.7;74.1;71.8;63.5;57.1;52.9;0.0;0.0;1.0;0.0
36406;1;2015;1;10;68.4;74.7;72.2;65.0;58.5;54.1;0.0;0.0;0.0;1.0
36527;1;2015;1;11;67.9;74.2;71.8;64.2;57.1;52.5;1.0;0.0;0.0;0.0
36528;1;2015;1;11;68.1;74.2;71.9;65.9;58.5;55.1;0.0;1.0;0.0;0.0
36529;1;2015;1;11;68.3;74.8;72.2;63.7;56.6;52.1;0.0;0.0;1.0;0.0
36530;1;2015;1;11;68.0;74.2;71.9;64.2;57.1;52.6;0.0;0.0;0.0;1.0
36651;1;2015;1;12;69.7;74.9;72.7;68.6;62.7;59.6;1.0;0.0;0.0;0.0
36652;1;2015;1;12;69.1;74.8;72.5;67.1;59.8;55.7;0.0;1.0;0.0;0.0
36653;1;2015;1;12;64.6;73.1;69.2;59.0;51.9;48.7;0.0;0.0;1.0;0.0
36654;1;2015;1;12;68.4;74.7;72.3;65.8;55.5;49.9;0.0;0.0;0.0;1.0
36775;1;2015;1;13;69.6;74.9;72.8;68.5;62.7;60.1;1.0;0.0;0.0;0.0
36776;1;2015;1;13;69.8;75.0;72.5;67.2;60.7;56.7;0.0;1.0;0.0;0.0
36777;1;2015;1;13;64.0;72.8;68.8;58.8;51.1;47.3;0.0;0.0;1.0;0.0
36778;1;2015;1;13;68.5;74.6;72.3;65.8;55.4;48.6;0.0;0.0;0.0;1.0
36895;1;2015;1;14;70.2;75.9;73.1;68.8;63.1;60.1;1.0;0.0;0.0;0.0
36896;1;2015;1;14;69.3;74.8;72.8;67.7;61.2;57.4;0.0;1.0;0.0;0.0
36897;1;2015;1;14;64.5;73.3;69.1;59.6;51.5;47.0;0.0;0.0;1.0;0.0
36898;1;2015;1;14;68.8;74.9;72.6;66.2;56.2;48.6;0.0;0.0;0.0;1.0
37011;1;2015;1;15;70.0;75.6;72.6;68.5;63.1;60.3;1.0;0.0;0.0;0.0
37012;1;2015;1;15;70.9;75.9;74.0;69.3;62.9;59.3;0.0;1.0;0.0;0.0
37013;1;2015;1;15;65.1;73.4;69.6;60.2;52.0;47.6;0.0;0.0;1.0;0.0
37014;1;2015;1;15;69.2;75.4;72.7;66.5;56.7;49.0;0.0;0.0;0.0;1.0
37127;1;2015;1;16;70.0;75.7;73.1;68.6;62.5;59.7;1.0;0.0;0.0;0.0
37128;1;2015;1;16;69.6;74.9;72.9;68.2;61.5;58.3;0.0;1.0;0.0;0.0
37129;1;2015;1;16;68.0;75.2;72.7;63.9;55.8;50.9;0.0;0.0;1.0;0.0
37130;1;2015;1;16;69.3;75.0;72.9;67.1;59.5;53.0;0.0;0.0;0.0;1.0
37240;1;2015;1;17;69.0;75.4;72.5;65.7;59.0;54.8;1.0;0.0;0.0;0.0
37241;1;2015;1;17;69.1;75.5;72.0;67.3;61.6;59.1;0.0;1.0;0.0;0.0
37242;1;2015;1;17;67.5;74.3;71.8;63.5;57.2;52.8;0.0;0.0;1.0;0.0
37243;1;2015;1;17;68.6;75.3;72.2;65.3;58.7;54.0;0.0;0.0;0.0;1.0
37352;1;2015;1;18;68.5;75.2;72.9;63.5;57.4;53.7;1.0;0.0;0.0;0.0
37353;1;2015;1;18;69.9;76.0;74.5;65.2;58.7;55.3;0.0;1.0;0.0;0.0
37354;1;2015;1;18;67.8;74.4;72.1;64.1;57.0;52.3;0.0;0.0;1.0;0.0
37355;1;2015;1;18;68.6;75.7;73.1;64.0;57.5;53.3;0.0;0.0;0.0;1.0
37464;1;2015;1;19;70.0;75.3;72.8;68.8;63.1;60.5;1.0;0.0;0.0;0.0
37465;1;2015;1;19;69.2;74.8;72.5;67.0;59.8;55.3;0.0;1.0;0.0;0.0
37466;1;2015;1;19;66.5;75.4;71.0;61.8;53.3;49.6;0.0;0.0;1.0;0.0
37467;1;2015;1;19;68.8;74.9;72.4;66.3;57.4;50.9;0.0;0.0;0.0;1.0
37576;1;2015;1;20;69.9;75.3;72.9;68.7;62.8;60.1;1.0;0.0;0.0;0.0
37577;1;2015;1;20;69.4;75.4;72.7;67.4;60.3;56.9;0.0;1.0;0.0;0.0
37578;1;2015;1;20;64.3;73.0;68.7;59.2;50.6;46.8;0.0;0.0;1.0;0.0
37579;1;2015;1;20;68.6;74.9;72.4;66.0;55.6;48.0;0.0;0.0;0.0;1.0
37691;1;2015;1;21;70.1;75.7;73.1;68.8;63.0;60.2;1.0;0.0;0.0;0.0
37692;1;2015;1;21;70.5;75.6;73.7;68.3;61.3;57.2;0.0;1.0;0.0;0.0
37693;1;2015;1;21;64.4;72.9;69.0;59.9;51.8;47.6;0.0;0.0;1.0;0.0
37694;1;2015;1;21;69.0;75.2;72.8;66.2;56.4;49.4;0.0;0.0;0.0;1.0
37807;1;2015;1;22;70.1;75.4;72.7;68.6;63.0;60.3;1.0;0.0;0.0;0.0
37808;1;2015;1;22;69.6;74.9;72.8;68.4;61.9;58.4;0.0;1.0;0.0;0.0
37809;1;2015;1;22;65.2;73.6;69.9;60.8;52.6;48.4;0.0;0.0;1.0;0.0
37810;1;2015;1;22;68.9;74.8;72.4;66.4;57.2;50.0;0.0;0.0;0.0;1.0
37923;1;2015;1;23;70.2;77.0;72.8;68.2;62.5;59.8;1.0;0.0;0.0;0.0
37924;1;2015;1;23;69.6;74.4;72.7;68.1;61.5;58.7;0.0;1.0;0.0;0.0
